STR_NO,STR_NA,TDATE,JTYPE,STIME,TTIME,GOO_NO,PRDTNAME,PRDTSPEC,BARCODE,PRDTDEPT,PRDTDEPTNAME,VIQTY,VIAMT,VIAJQTY,VIAJAMT,VRQTY,VRAMT,VRAJQTY,VRAJAMT,WIQTY,WIAMT,WIAJQTY,WIAJAMT,WRQTY,WRAMT,WRAJQTY,WRAJAMT,TNFIQTY,TNFIAMT,TNFOQTY,TNFOAMT,SKIQTY,SKIAMT,SKOQTY,SKOAMT,SQTY,SAMT,RQTY,RAMT,SOQTY,SOAMT,SIQTY,SIAMT,FUQTY,FUAMT,DEQTY,DEAMT
12,忠孝店,02-10月-22,2,0000,0000,781383,情人抽取萬用紙巾100抽*3包,100抽*3包,4712425028106,27,家用紙製品課,16,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,257.13,0,0,3,257.13,0,0,0,0,0,0
1,平鎮店,02-10月-22,2,0000,0000,249491,台灣高山高麗菜1.2kg+-10%/粒,1.2kg/粒,,11,蔬菜課,243,19926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,9540,0,0,112,9540,0,0,0,0,0,0
9,中和店,02-10月-22,2,0000,0000,549831,一匙靈抗菌EX植萃低敏補充包1.5KG,1.5KG,4710363614450,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,854.23,0,0,13,854.23,0,0,0,0,0,0
2,湳雅店,02-10月-22,2,0000,0000,107832,卡打車運動飲料-原味 700ml/瓶,700ml/瓶,4710784962055,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,91.44,0,0,4,91.44,0,0,0,0,0,0
9,中和店,02-10月-22,2,0000,0000,707706,逸萱秀精油洗髮精英國梨&百合700ML,700ml,4710363837743,28,美容用品課,0,0,0,0,0,0,0,0,12,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170.48,0,0,1,170.48,0,0,0,0,0,0
39,頭份店,02-10月-22,2,0000,0000,754767,台灣網狀哈蜜瓜(約1200克+-5%)/粒,1200克/粒,,12,水果課,8,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,338,0,0,2,338,0,0,0,0,0,0
10,土城店,02-10月-22,2,0000,0000,398915,台灣木瓜(約900克+-5%)/粒,900克+-5%/粒,,12,水果課,36,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-38.39,0,0,0,0,37,1793,0,0,37,1793,0,0,0,0,-1,-40.88
1,平鎮店,02-10月-22,2,0000,0000,569073,素飄香素麻辣拌麵 85g*5/組,85g*5/組,4710199113295,20,米,麵,南北貨課,0,0,0,0,0,0,0,0,60,3657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,185.7,0,0,3,185.7,0,0,0,0,0,0
30,碧潭店,02-10月-22,2,0000,0000,212771,培根調理麵包,70g±9%/個,4710970687694,18,烘焙課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-38.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,碧潭店,02-10月-22,2,0000,0000,270471,黑巧甜甜圈,90g±9%/個,,18,烘焙課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-68.56,0,0,0,0,2,66.66,0,0,2,66.66,0,0,0,0,0,0
39,頭份店,02-10月-22,2,0000,0000,699244,3M 透明繃50片,透明繃50片,4710367403715,63,健康生活,0,0,0,0,0,0,0,0,24,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,188.58,0,0,2,188.58,0,0,0,0,0,0
6,員林店,02-10月-22,2,0000,0000,220675,台灣烏殼綠筍 700g+-10%/支,700g+-10%/支,,11,蔬菜課,10,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,260,0,0,4,260,0,0,0,0,-1,-56.33
3,忠明店,02-10月-22,2,0000,0000,312378,台灣香蕉(約15cm +- 5%/支)/公斤,15cm/支,,12,水果課,149,4172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,62,0,0,1.73,62,0,0,0,0,0,0
39,頭份店,02-10月-22,2,0000,0000,686079,李施德霖薄荷除菌漱口水1000ml,1000ml,4710032705182,28,美容用品課,0,0,0,0,0,0,0,0,42,7808.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1895.2,0,0,10,1895.2,0,0,0,0,0,0
96,雙十店,02-10月-22,2,0000,0000,314787,茄子 400g+-5%/袋,400g+-5%/袋,,11,蔬菜課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70.58,0,0,0,0,0,0,3,135,0,0,3,135,0,0,0,0,0,0
96,雙十店,02-10月-22,2,0000,0000,608201,台灣糯米辣椒 300g +-5%/盒,300g +-5%/盒,,11,蔬菜課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,八德店,02-10月-22,2,0000,0000,639743,統一AB優酪乳-原味  902ml/瓶,Original,4710088436009,15,冷藏課,16,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,959.98,0,0,14,959.98,0,0,0,0,0,0
39,頭份店,02-10月-22,2,0000,0000,263450,台灣地瓜葉250g+-5%/袋,250g+-5%/袋,4717060203284,11,蔬菜課,60,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1124,0,0,39,1124,0,0,0,0,-14,-322
13,中壢店,02-10月-22,2,0000,0000,880260,有機山茶茸200g+-5%/包,200g+-5%/包,4714127040226,11,蔬菜課,26,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,152,0,0,8,152,0,0,0,0,0,0
18,鮮食集,02-10月-22,2,0000,0000,467060,台灣小地瓜1kg+-10%/袋,1kg+-10%/袋,,11,蔬菜課,5,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,144,0,0,4,144,0,0,0,0,0,0
18,鮮食集,02-10月-22,2,0000,0000,837906,(f)冷藏肉-台糖豬梅花火鍋片,250g/盒,,14,肉品課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160,0,0,0,0,0,0,1,109,0,0,1,109,0,0,0,0,0,0
18,鮮食集,02-10月-22,2,0000,0000,281875,*五木海鮮拉麵 4入/包,4入/包,4710175565551,20,米,麵,南北貨課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,忠明店,02-10月-22,2,0000,0000,239173,一匙靈亮彩洗衣粉 補充包,,4710363781251,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,6,541.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,南湖店,02-10月-22,2,0000,0000,260559,台灣空心菜250g+-5%/袋,250g+-5%/袋,4717060203116,11,蔬菜課,160,4160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,4594,0,0,159,4594,0,0,0,0,0,0
34,中崙店,02-10月-22,2,0000,0000,878345,浴室魔術靈除霉漂潔噴槍瓶500ML,,4710363970082,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,18,1488.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,942.9,0,0,10,942.9,0,0,0,0,0,0
10,土城店,02-10月-22,2,0000,0000,622041,新東陽香幼筍,150g,4710057202475,25,食用油&罐頭醬料課,0,0,0,0,0,0,0,0,24,759.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66.66,0,0,2,66.66,0,0,0,0,0,0
34,中崙店,02-10月-22,2,0000,0000,544269,台灣柳丁(約1.2kg+-5%)袋,約1.2+-5%/袋 (#21  約8-11粒),,12,水果課,60,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,885,0,0,15,885,0,0,0,0,0,0
30,碧潭店,02-10月-22,2,0000,0000,685962,(e)冷藏肉-豬梅花肉排400g/盒(意),,,14,肉品課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-112.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,鳳山店,02-10月-22,2,0000,0000,551634,康乃馨寶寶潔膚濕巾超厚外出包 3包,20片*3包/組,4710049004520,27,家用紙製品課,0,0,0,0,0,0,0,0,24,1257.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,102.86,0,0,2,102.86,0,0,0,0,0,0
18,鮮食集,02-10月-22,2,0000,0000,951886,愛之味甜辣醬 165gx3瓶/組,165gx3瓶/組,4710626210955,25,食用油&罐頭醬料課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,雙十店,02-10月-22,2,0000,0000,253902,維大力汽水 2000ml/瓶,2000ml/瓶,4710594406008,21,飲料課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.27,0,0,0,0,0,0,1,35.24,0,0,1,35.24,0,0,0,0,0,0
31,景平店,02-10月-22,2,0000,0000,929664,農搾檸檬奇亞籽飲650ml,650ml,4710063416279,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.19,0,0,1,56.19,0,0,0,0,0,0
3,忠明店,02-10月-22,2,0000,0000,390005,吳郭魚 500~700g/尾,,,13,水產課,50,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1989,0,0,35,1989,0,0,0,0,0,0
1,平鎮店,02-10月-22,2,0000,0000,689078,妙管家噴霧式芳香劑-淡雅薰衣草,300ml,4710303350851,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,12,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112.38,0,0,2,112.38,0,0,0,0,0,0
10,土城店,02-10月-22,2,0000,0000,607356,BF海鹽檸檬糖,150g,9555030107089,66,進口食品課,0,0,0,0,0,0,0,0,24,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,274.26,0,0,6,274.26,0,0,0,0,0,0
2,湳雅店,02-10月-22,2,0000,0000,393926,品盛堂-養氣茶,9g*12,4713095560460,26,沖調課,0,0,0,0,0,0,0,0,8,1360.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,土城店,02-10月-22,2,0000,0000,248139,統一瑞穗全脂鮮乳 930ml/盒,930ml/盒,4710088432674,15,冷藏課,55,4187.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-71.5,0,0,0,0,30,2550,0,0,30,2550,0,0,0,0,0,0
37,鳳山店,02-10月-22,2,0000,0000,680985,台灣九層塔(履歷) 100g±10%/包,100g±10%/包,4717060901210,11,蔬菜課,4,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,1,39,0,0,0,0,0,0
9,中和店,02-10月-22,2,0000,0000,861835,味全萬丹酪農戶限定鮮乳 1857ml/瓶,1857ml/瓶,4710063337895,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2206,0,0,12,2206,0,0,0,0,0,0
16,南湖店,02-10月-22,2,0000,0000,814263,三好 15度C 皇家香米3kg/包,3kg/包  CNS二等米,4710265010046,20,米,麵,南北貨課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-204.9,0,0,0,0,5,1045,0,0,5,1045,0,0,0,0,0,0
7,台南店,02-10月-22,2,0000,0000,469992,新東陽精燉紅燒牛220G,220G,4710057209436,25,食用油&罐頭醬料課,0,0,0,0,0,0,0,0,24,1489.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,鮮食集,02-10月-22,2,0000,0000,622476,鯛魚火鍋魚片200G,,,13,水產課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,南湖店,02-10月-22,2,0000,0000,754740,康貝特200P飲料180ml,,4710209763113,21,飲料課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-85.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,忠明店,02-10月-22,2,0000,0000,929739,農搾柳丁綜合奇亞籽飲650ml,650ml,4710063416293,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.19,0,0,1,56.19,0,0,0,0,0,0
37,鳳山店,02-10月-22,2,0000,0000,10373,台灣格蘭菜250g+-10%/束,250g+-10%/束,4717060212224,11,蔬菜課,10,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,137,0,0,6,137,0,0,0,0,0,0
37,鳳山店,02-10月-22,2,0000,0000,298917,台灣帶殼玉米筍400g+-10%/袋,400g+-10%/袋,4717060304486,11,蔬菜課,6,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,159,0,0,5,159,0,0,0,0,0,0
12,忠孝店,02-10月-22,2,0000,0000,567696,光泉無加糖優酪乳200ml/瓶,200ml,4710105021355,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,104.75,0,0,5,104.75,0,0,0,0,0,0
12,忠孝店,02-10月-22,2,0000,0000,896302,光泉麥茶936ml*2/組,936ml*2,4710105612713,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,333.35,0,0,5,333.35,0,0,0,0,0,0
3,忠明店,02-10月-22,2,0000,0000,403569,HEINZ蕃茄醬(倒瓶)567g/瓶,567g/瓶,01364008,25,食用油&罐頭醬料課,0,0,0,0,0,0,0,0,12,792.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,300.96,0,0,4,300.96,0,0,0,0,0,0
7,台南店,02-10月-22,2,0000,0000,999622,維力什麼丸意兒-雞汁 50gx3包/組,,4710199084205,23,糖果餅乾課,0,0,0,0,0,0,0,0,24,685.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,137.16,0,0,4,137.16,0,0,0,0,0,0
1,平鎮店,02-10月-22,2,0000,0000,173800,台灣金桔 (約600克+-5%)/盒,600克/盒,4712487614446,12,水果課,5,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,302,0,0,4,302,0,0,0,0,0,0
30,碧潭店,02-10月-22,2,0000,0000,995046,*統一純喫茶-紅茶  481ml/瓶,,4710088433305,15,冷藏課,1,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.14,0,0,1,17.14,0,0,0,0,0,0
37,鳳山店,02-10月-22,2,0000,0000,617028,菲力家族棉花棒細軸經濟包,100支*6包,4712720481040,63,健康生活,0,0,0,0,0,0,0,0,24,1280.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,393.33,0,0,7,393.33,0,0,0,0,0,0
36,嘉義店,02-10月-22,2,0000,0000,791857,義美小泡芙(草莓)57g/包,57g/包,4710126021013,23,糖果餅乾課,0,0,0,0,0,0,0,0,24,658.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,雙十店,02-10月-22,2,0000,0000,626793,福樂巧克力牛乳936ml,936ml,4710339006449,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,中崙店,02-10月-22,2,0000,0000,647415,SIMPLY GOOD 樂事海鹽81G,81g/包,4710543009199,23,糖果餅乾課,0,0,0,0,0,0,0,0,24,775.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,143.82,0,0,4,143.82,0,0,0,0,0,0
36,嘉義店,02-10月-22,2,0000,0000,647415,SIMPLY GOOD 樂事海鹽81G,81g/包,4710543009199,23,糖果餅乾課,0,0,0,0,0,0,0,0,24,775.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.29,0,0,1,34.29,0,0,0,0,0,0
7,台南店,02-10月-22,2,0000,0000,450348,光泉無加糖濃豆漿375ml/瓶,TR375ml/瓶,4710105037103,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49.52,0,0,2,49.52,0,0,0,0,0,0
3,忠明店,02-10月-22,2,0000,0000,376420,光泉晶典小品-玉米脆片奶酪100g*3,100g*3個,4710105402550,15,冷藏課,3,159.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,148.56,0,0,3,148.56,0,0,0,0,0,0
30,碧潭店,02-10月-22,2,0000,0000,288918,桂格喝的燕麥(原味)  920ml,920ml/瓶,4710043024579,15,冷藏課,10,514.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,205.72,0,0,4,205.72,0,0,0,0,0,0
7,台南店,02-10月-22,2,0000,0000,301746,雀巢金牌咖啡三合一重焙拿鐵 30x20g,30x20g/盒,4710498999811,26,沖調課,0,0,0,0,0,0,0,0,24,5809.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1520,0,0,8,1520,0,0,0,0,0,0
2,湳雅店,02-10月-22,2,0000,0000,249431,妙管家強效洗衣粉-抗菌4.5Kg,4.5kg/包,4710303340609,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,8,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,700,0,0,7,700,0,0,0,0,0,0
17,台東店,02-10月-22,2,0000,0000,290568,光泉果汁時刻-100%葡萄綜合果汁1400,1400ml,4710105010465,15,冷藏課,3,322.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,306.67,0,0,3,306.67,0,0,0,0,0,0
3,忠明店,02-10月-22,2,0000,0000,175104,泰山不飽和調合油,1.5L,4710095441560,25,食用油&罐頭醬料課,0,0,0,0,0,0,0,0,48,5439.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,793.32,0,0,7,793.32,0,0,0,0,0,0
32,佳里店,02-10月-22,2,0000,0000,216722,貝納頌咖啡(經典拿鐵) 290ml/瓶,290ml/瓶,4710063442438,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,74.29,0,0,3,74.29,0,0,0,0,0,0
32,佳里店,02-10月-22,2,0000,0000,820773,LCA506發酵乳-清爽零 100mlx10/組,100mlx10瓶/組,4710063336706,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,468.54,0,0,9,468.54,0,0,0,0,0,0
3,忠明店,02-10月-22,2,0000,0000,824798,桂格顆粒豆漿燕麥920ML/瓶,920ML/瓶,4710043036268,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,565.73,0,0,11,565.73,0,0,0,0,0,0
36,嘉義店,02-10月-22,2,0000,0000,444588,福樂自然零優酪乳-蔓越莓  920ml/瓶,920ml/瓶,4710339003424,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110.48,0,0,2,110.48,0,0,0,0,0,0
12,忠孝店,02-10月-22,2,0000,0000,176013,LCA506活菌原味發酵乳 100mlx10/組,100mlx10瓶/組,4710063336348,15,冷藏課,12,647.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,525.68,0,0,10,525.68,0,0,0,0,0,0
7,台南店,02-10月-22,2,0000,0000,261283,台灣格蘭菜250g+-5%/袋,250g+-5%/袋,4717060203222,11,蔬菜課,50,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1101,0,0,38,1101,0,0,0,0,0,0
17,台東店,02-10月-22,2,0000,0000,240513,妙管家植萃酵素洗潔精3200g,3200g/瓶,4710303312576,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,20,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,982.88,0,0,8,982.88,0,0,0,0,0,0
10,土城店,02-10月-22,2,0000,0000,867039,維力原祖牛肉風味麵(五包入),70g*5入/組,4710199113370,20,米,麵,南北貨課,0,0,0,0,0,0,0,0,120,5028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,385.74,0,0,9,385.74,0,0,0,0,0,0
12,忠孝店,02-10月-22,2,0000,0000,761466,蒲公英環保擦手紙  150抽*5包,150抽*5包,4712425014031,27,家用紙製品課,24,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,793.31,0,0,7,793.31,0,0,0,0,0,0
2,湳雅店,02-10月-22,2,0000,0000,524304,金車奧利多水 585ml*4瓶/組,585ml*4瓶/組,4710085204632,21,飲料課,0,0,0,0,0,0,0,0,12,761.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,666.7,0,0,10,666.7,0,0,0,0,0,0
