"倍潔雅袖珍面紙PEFC 10抽36包","10抽36包","4710901892388","27","家用紙製品課"
"愛之味花生豆花340gx6罐/組","340gx6罐/組","4710626203063","21","飲料課"
"禎祥冷凍鍋貼 840g/包","840g/包","4710357308211","16","冷凍課"
"超值素色毛巾 淺灰","33x50cm","","32","家用紡品"
"YARK雙層氣泡式遮陽板休旅車專用","150*70cm","4714005334058","35","汽車百貨"
"ALGM9525 八鍵式有線電競滑鼠 黑","ALGM9525 黑","6970939959363","47","電器3C配件"
"Victoria防蹣透氣床墊 雙人 5*6.2尺","150*186cm(5*6.2尺) 混款","4711086126428","32","家用紡品"
"福樂自然零優酪乳-蔓越莓  920ml/瓶","920ml/瓶","4710339003424","15","冷藏課"
"*簡單點優酪乳(無加糖)150ml","150ml/瓶","4710063338403","15","冷藏課"
"洗顏專科超微米控油潔顏乳n","100g","4713410901541","28","美容用品課"
"植物的優鮮美橘瓣優格240g*2","240g*2","4710784967906","15","冷藏課"
"加倍潔檸檬酸去污粉320g瓶裝","320g","4710205013885","69","家庭清潔洗劑課"
"台灣青江菜250g+-5%/袋","250g+-5%/袋","4717060203093","11","蔬菜課"
"冷藏肉-豬前足長(嘉)公斤","公斤","4712523162313","14","肉品課"
"冷藏肉-豬尾(嘉)公斤","公斤","4712523162382","14","肉品課"
"美粒果蘋果蘇打500MLX4入組裝","","4710018317149","21","飲料課"
"HT3/4休閒襪四入超值 黑","HT-A41003","4713319539760","57","男女內著課"
"冷藏肉-土雞切塊600g/盒(超)","600g/盒","","14","肉品課"
"小王子麵-原味(減鹽)","300G/袋","4710008213567","23","糖果餅乾課"
"聯華可樂果酷辣 48g/包","48g/包","4710022203506","23","糖果餅乾課"
"紐西蘭洋蔥 220g+-10%/粒","220g+-10%/粒","","11","蔬菜課"
"光泉低脂鮮乳 1857ml/瓶","1857ml/瓶","4710105015125","15","冷藏課"
"雲南白藥 益生菌牙膏-益口清馨","100g","6901070603228","28","美容用品課"
"黑色彈力管5米","","4717677211382","39","戶外休閒"
"LAMINA天絲5cm波浪記憶床墊單人","90*186*5cm","4711737059877","32","家用紡品"
"雀巢茶品翡翠檸檬蜜茶300mlx24包/箱","300mlx24包/箱","4710626195238","21","飲料課"
"花束-99","束","","11","蔬菜課"
"金蘭甘醇油膏 5800公克/桶","5800公克/桶","4710012142341","25","食用油&罐頭醬料課"
"素色短袖衫 薑黃#XL","7636","4712893745208","57","男女內著課"
"有機香菇300g+-5%/盒","","4710577210059","11","蔬菜課"
"珍品綠竹筍450g/包","450g/包","4717060802630","11","蔬菜課"
"光泉果汁時刻-100%葡萄綜合果汁2300","2300ml","4710105019338","15","冷藏課"
"九福-岩燒海苔餅","200g/袋","4711202224045","23","糖果餅乾課"
"盛香珍杏仁小魚 100g","100g/包","4710174109220","23","糖果餅乾課"
"東石鮮蚵8兩+-5%/盒","8兩+-5%/盒(淨重300G+-5%/盒)","","13","水產課"
"Picard奶油北海鰈魚排(2入)","270g","3270160797554","16","冷凍課"
"GW玻璃果汁杯390ml","","4719852428738","33","廚房與餐具用品課"
"統一瑞穗調味乳-麥芽  930ml/瓶","930ml/瓶","4710088823311","15","冷藏課"
"豆皮花捲(小)","盒","","13","水產課"
"十粒生魚片","盒","","13","水產課"
"冷藏肉-牧草雞胸骨真空包/500g","","4716814681286","14","肉品課"
"*達人上菜米血糕","300g","4713494160407","15","冷藏課"
"疫苗卡透明保護套","展開135*191mm","4713760264419","38","文具"
"禾聯  視訊盒MJ6-F02","MJ6-F02","4713291824038","41","電視及音響"
"花公主一體成型鐵鏟(黑)","長28*寬7.5","4710552085207","39","戶外休閒"
"靚土多肉植物用 3公升","3公升","4713691051003","39","戶外休閒"
"台灣韭菜黃250g+-10%/袋","250g+-10%/袋","4717060103119","11","蔬菜課"
"李錦記鮮味雞粉273g/罐","273g/罐","078895121643","25","食用油&罐頭醬料課"
"開喜凍頂烏龍茶-250ml*24包/箱","250ml*24包/箱","4710068976730","21","飲料課"
"葉潔園藝清潔液300CC","","4713691040045","39","戶外休閒"
"冷藏肉-雞三節翅W8(超)公斤","","","14","肉品課"
"台灣美食全記錄-蒜茸花生 185g/包","185g/包","4710446722119","23","糖果餅乾課"
"聯華可樂果試嚼系九層塔口味 118g","118g/包","4710022002215","23","糖果餅乾課"
"佩佩豬童皮拖 粉紫#童段","16-20CM","4716119200502","56","鞋課"
"5D機器人造型軟糖","64G","4715243050434","66","進口食品課"
"柔絲絨抗菌雙人床包 花香","5x6.2尺(150x186cm)","4711086652729","32","家用紡品"
"馬K紅K雙丁 250g/包","250g/包","4717060640164","11","蔬菜課"
"澎湖明興-蛋黃芋丸","500g/盒","4711228640614","16","冷凍課"
"紅糟肉(饗城)","6Kg/箱(-)","4712795664140","17","熟餐課"
"黑松FIN健康補給飲料580ml*4瓶/組","580ml*4瓶/組","4710154412869","21","飲料課"
"情侶家居拖91033 粉#36/37","","4715982116941","56","鞋課"
"胚芽核桃麵包","220g±9%/個","4710970687922","18","烘焙課"
"黑松FIN健康補給飲料1460ml/瓶","1460ml/瓶","4710154013035","21","飲料課"
"冷藏肉-國產冷藏雞棒棒腿(超秦)公斤","公斤","","14","肉品課"
"優生超優選素色紗布手帕","","4710091169314","54","童裝及嬰兒服課"
"威猛先生地板瓶裝舒活海洋 2000ml","2000ml","4710314451059","69","家庭清潔洗劑課"
"雲林口湖鮮採文蛤(中)","600g/包，15包/件","","13","水產課"
"統一純喫茶-烏龍青茶  650ml/盒","650ml/盒","4710088641274","15","冷藏課"
"極速鋼珠筆 黑2入","WBLN105-A2","4711577030111","38","文具"
"上龍精湛#316中匙","TL-5008","4713537050085","33","廚房與餐具用品課"
"MT智能鎖溫蓄熱衣 深灰#M","MT-C6004","4711033182279","57","男女內著課"
"韓寶 Q米年糕 420g/包","420g/包","4712052220195","15","冷藏課"
"金蘭十三香滷味醬","295ML","4710012238020","25","食用油&罐頭醬料課"
"順陽有柄啤酒杯400CC","UG-376","4717725906086","33","廚房與餐具用品課"
"三花極暖柔V領保暖衣 M","#9970","4711570997077","57","男女內著課"
"白蘭動力配方洗碗精(鮮柚)2.8kg","2.8kg/瓶","4710094018992","69","家庭清潔洗劑課"
"GW古典蘭花 飯碗4.5吋","4.5吋","4719852423368","33","廚房與餐具用品課"
"每日C100%綜合蔬果汁800ml","800ml","4710063414527","15","冷藏課"
"冷藏肉-台糖豬薄排小排肉","公斤","4710311872444","14","肉品課"
"綠野農莊里肌肉250g單包真空Mini包","","4716814682313","14","肉品課"
"永豐紗布塊(滅菌)","4""*4""*4PLY*3PCS","4713684402164","63","健康生活"
"KB 香濃起司羊肉條150g","150g/包 KB-D-0024","4711481493248","22","寵物課"
"吻仔魚","2.4kg/箱 200g/盒","4713105074710","13","水產課"
"冷藏肉-雞心(超) 公斤","","","14","肉品課"
"好來全亮白密泡小蘇打牙膏","蘆薈小清新140gx2條/組","4710168727003","28","美容用品課"
"Long king永冠公文包","LK-8328","4716725211039","39","戶外休閒"
"台灣高接梨4入(約1.2kg+-5%)盒","約1.2kg+-5%/盒(四入盒)","","12","水果課"
"味全極品限定高鈣牛乳200ml*6包/組","200ml*6包/組","4710063314674","21","飲料課"
"毛寶小蘇打洗衣液體皂低泡沫配方","補充包 1800g/包","4710038854297","69","家庭清潔洗劑課"
"DR.Jelly益生菌蘋果乳酸果凍150g/包","150公克/包","4711040002898","23","糖果餅乾課"
"康乃馨寶寶濕巾-補充包(厚片) 80片","","4710049003516","27","家用紙製品課"
"潤之泉潤心田冰沁菊花茶480ml/瓶","480ml/瓶","4710696111312","15","冷藏課"
"光泉巧克力牛乳330ml*6/組","330ml*6/組","4710105333991","21","飲料課"
"雪柔蛋糕","265g+-9%/盒","","18","烘焙課"
"Bixtar柳橙綠茶475ml","475ml/瓶","4710063426674","15","冷藏課"
"200g披薩麵團(鮮食集轉貨)","200g +-9%/個","","18","烘焙課"
"摩卡厚實茶道紅茶拿鐵","25公克x15包","4710179388507","26","沖調課"
"E-books SS22真無線藍牙5.0耳機-粉","E-EPA227PK","4713052253664","47","電器3C配件"
"AC-30 壓克力顏料 紫","SKB","4710677035088","38","文具"
"禾聯 43型4K聯網液晶顯示器","HD-43WDF43(#546603)","4710273766201","41","電視及音響"
"南僑水晶洗衣用肥皂液体-葡萄柚籽","抗菌2.4kg/瓶","4710060006541","69","家庭清潔洗劑課"
"海帶絲","1公斤*12包","","13","水產課"
"奧利奧捲心酥-巧克力口味 54g","54g","8934680033329","23","糖果餅乾課"
"桂冠蕃茄肉醬義大利麵 330g/盒","Sauce  330g/盒","4710011470018","16","冷凍課"
"城市一族棒狀餅乾-草莓 25gx3盒/組","25gx3盒/組","4713153344483","23","糖果餅乾課"
"愛之味妞妞紅豆粉粿 260gx12罐/盒","260gx12罐/盒","4710626428824","21","飲料課"
"義美無糖台灣四季春936ml","936ml","4710126198364","15","冷藏課"
"華元大吉利超值包 7包/袋","7包/組","4710176034063","23","糖果餅乾課"
"A4粉彩資料本 / 40頁 青綠色","310*235*25mm","4713760047807","38","文具"
"808 Audio FLEXI APPLE線1.2m 藍","ACMCB3010104BL-GL","841707100774","47","電器3C配件"
"家簡塵除 易淨掃掃把畚斗組","","4716779357370","61","家庭清潔用具課"
"沙比瑞爾天然防蹣防蚊四孔支撐枕","45X75CM","4715387045259","32","家用紡品"
"義美酸梅湯400ml/盒","400ml","4710126191099","15","冷藏課"
"同花順象棋","","4719552382019","62","玩具課"
"潮流霧面雨衣 L","","4710623860511","35","汽車百貨"
"光泉希臘式優酪500g/個","PP500g/個","4710105001456","15","冷藏課"
"OP環保舒適手套-耐用強化 (S)","約7.5*33cm","4710660882187","69","家庭清潔洗劑課"
"Panasonic 變頻冷氣機 2.8KW","CU-K28FCA2/CS-K28FA2","4717523661170","42","大家電"
"義美優酪乳1700ml","1700ml","4710126152731","15","冷藏課"
"省產茄子 150g+-10%/條","150g+-10%/條","","11","蔬菜課"
"大同不鏽鋼電火鍋 4L TSB-4015S","TSB-4015S","4713699033384","43","小家電"
"毛寶洗碗精 3000g/瓶","3000g/瓶","4710038852811","69","家庭清潔洗劑課"
"萬歲牌什錦堅果仁","160G","4710022050414","23","糖果餅乾課"
"M-男天絲棉彈力休閒褲 深藍#40""","","","51","男裝課"
"統一純喫茶-紅茶  960mlx3瓶/組","960mlx3瓶/組","4710088437143","15","冷藏課"
"綠天使青椒(產銷履歷) 350g/包","350g/包","4717060913466","11","蔬菜課"
"LOTTE 巧克力派 336g/包","336g/包","8801062267491","23","糖果餅乾課"
"天竺鼠車童直版襪 灰#15~22cm","PUI-501.02.03.04.05S","4710139186136","54","童裝及嬰兒服課"
"三花衛生褲- XL","","4711570993390","57","男女內著課"
"可倫堡白啤酒330ml 4入罐裝","330ml*4罐/組","4710425585865","24","啤酒與烈酒課"
"大拇指抽取式衛生紙130抽12包","130抽12包","4710970802080","27","家用紙製品課"
"熊寶貝柔軟護衣精沁藍海洋香","3200ML","4710094112782","69","家庭清潔洗劑課"
"Picard四重起司燉飯","300g","3270160812356","16","冷凍課"
"*大拇指 銀絲卷 480g/包","480g/包","4710970802561","16","冷凍課"
"我的心機馬油滋養修護足膜1雙入","1雙/30ml","4716872046140","28","美容用品課"
"崇德發黑麥汁 330ml*6瓶/組","330ml*6瓶/組","4002631022006","21","飲料課"
"桂格美味三合一麥片麥香減糖","32.5g*10包/袋","4710043045918","26","沖調課"
"布紋圓形桌上型垃圾桶1.6L","直徑13.5x16.5cm 1.6L","6941111199808","61","家庭清潔用具課"
"橫山拾穗鐵板麵-黑胡椒醬330g/包","330g/包","4712511371062","15","冷藏課"
"韓國辣炒年糕420克","420 g","4711436849014","15","冷藏課"
"奇美冷凍芝麻包子390g","","4711926732062","16","冷凍課"
"胖老爹雞腿造型洋芋球","75g","4710887944453","23","糖果餅乾課"
"COMELIFE 超厚按摩柔軟鞋墊 28-31cm","28-31cm","4710765777166","56","鞋課"
"牛頭牌拿薩勒#909050# 黑#10","乙烯醋酸乙烯酯/黑/咖/藍/灰粉","","56","鞋課"
"Mars男彈力長袖POLO衫 白#M","","4710483162602","51","男裝課"
"微光柔雅毛巾三入包","33*76CM 311gsm","4718009693494","32","家用紡品"
"雪屋 (輕辣)","190g/包","4713153343462","23","糖果餅乾課"
"勝大四季白玉子(白殼)/10入/盒","600g+-30g/10入/盒","4716966700279","15","冷藏課"
"安怡保護力長青高鈣低脂奶粉750g/罐","750g/罐","4710958449078","26","沖調課"
"溫室小白菜 250g+-5%/袋","250g+-5%/袋","4713327295856","11","蔬菜課"
