STR_NO,STR_NA,TDATE,JTYPE,STIME,TTIME,GOO_NO,PRDTNAME,PRDTSPEC,BARCODE,PRDTDEPT,PRDTDEPTNAME,VIQTY,VIAMT,VIAJQTY,VIAJAMT,VRQTY,VRAMT,VRAJQTY,VRAJAMT,WIQTY,WIAMT,WIAJQTY,WIAJAMT,WRQTY,WRAMT,WRAJQTY,WRAJAMT,TNFIQTY,TNFIAMT,TNFOQTY,TNFOAMT,SKIQTY,SKIAMT,SKOQTY,SKOAMT,SQTY,SAMT,RQTY,RAMT,SOQTY,SOAMT,SIQTY,SIAMT,FUQTY,FUAMT,DEQTY,DEAMT
2,湳雅店,19-SEP-22,2,0000,0000,337416,韋恩閃萃拿鐵咖啡500ml*4瓶/組,500ml*4瓶/組,4710154414474,21,飲料課,12,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,南湖店,19-SEP-22,2,0000,0000,684822,寶瀅抑菌防&#34728;洗衣凝露補1.5L,1.5L,8809401607229,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-267.35,0,0,0,0,1,284.76,0,0,1,284.76,0,0,0,0,0,0
7,台南店,19-SEP-22,2,0000,0000,761202,台灣韭菜250g+-10%/束,250g+-10%/束,4717060119103,11,蔬菜課,5,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,140,0,0,4,140,0,0,0,0,0,0
10,土城店,19-SEP-22,2,0000,0000,639018,農搾芭樂綜合飲900ml,900ml/盒,4710063416231,15,冷藏課,8,354.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,171.44,0,0,4,171.44,0,0,0,0,0,0
96,雙十店,19-SEP-22,2,0000,0000,530601,(e)美國冷藏牛嫩肩里肌火鍋片,400g/盒,,14,肉品課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,0,0,0,0,0,0,1,292,0,0,1,292,0,0,0,0,0,0
3,忠明店,19-SEP-22,2,0000,0000,103425,光泉無加糖鮮豆漿PE2720ml/瓶,PE2720ml/瓶,4710105019512,15,冷藏課,8,544.8,0,0,-8,-544.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,234.3,0,0,3,234.3,0,0,0,0,0,0
32,佳里店,19-SEP-22,2,0000,0000,294108,義美錫蘭紅茶,400ml,4710126198173,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,1,20,0,0,0,0,0,0
2,湳雅店,19-SEP-22,2,0000,0000,949137,統一純喫茶-無糖綠茶 650ml/盒,650ml,4710088641212,15,冷藏課,80,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1026.59,0,0,49,1026.59,0,0,0,0,0,0
31,景平店,19-SEP-22,2,0000,0000,102519,光泉無加糖黑豆漿TR936ml/瓶,TR936ml/瓶,4710105016818,15,冷藏課,0,0,0,0,-5,-147.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,73.33,0,0,2,73.33,0,0,0,0,0,0
18,鮮食集,19-SEP-22,2,0000,0000,761502,來復易防漏安心紙尿褲黏貼式紙尿褲L,13P/L,4710054942565,27,家用紙製品課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,518.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,雙十店,19-SEP-22,2,0000,0000,521158,義美傳統料理豆腐  300g/盒,300g/盒,4710126095540,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.27,0,0,0,0,0,0,1,20,0,0,1,20,0,0,0,0,0,0
6,員林店,19-SEP-22,2,0000,0000,701535,輕旅行甜心純棉免洗褲 白/粉#L,,4710717904503,57,男女內著課,0,0,0,0,-9,-763.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,景平店,19-SEP-22,2,0000,0000,874016,義美素菜頭粿  600g/條,600g/條,4710126097315,15,冷藏課,24,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99.04,0,0,2,99.04,0,0,0,0,0,0
16,南湖店,19-SEP-22,2,0000,0000,347373,光泉米漿 2720ml/瓶,,4710105028316,15,冷藏課,12,817.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,300.96,0,0,4,300.96,0,0,0,0,0,0
13,中壢店,19-SEP-22,2,0000,0000,234845,每日C 100%柳橙汁 1300ml/瓶,1300ml/瓶(PET瓶),4710063423611,15,冷藏課,6,581.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,700,0,0,7,700,0,0,0,0,0,0
7,台南店,19-SEP-22,2,0000,0000,600054,阿華田巧克力麥芽牛奶290ml*2入組,,4710088471048,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.76,0,0,1,44.76,0,0,0,0,0,0
16,南湖店,19-SEP-22,2,0000,0000,196185,每日C 100%柳橙汁 800ml/瓶,800ml/瓶(PET瓶 ),4710063423970,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,253.33,0,0,4,253.33,0,0,0,0,0,0
18,鮮食集,19-SEP-22,2,0000,0000,181269,卡路里燕麥穀物棒250g/袋,250g/袋,8809286740615,23,糖果餅乾課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,鮮食集,19-SEP-22,2,0000,0000,252846,可樂果古早味188G,188G,4710022024033,23,糖果餅乾課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,土城店,19-SEP-22,2,0000,0000,756672,中興外銷日本之米 3kg/包 一等米,3kg/包 CNS一等米,4711045227654,20,米,麵,南北貨課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-138.5,0,0,0,0,2,296,0,0,2,296,0,0,0,0,0,0
13,中壢店,19-SEP-22,2,0000,0000,697731,義美魚豆腐-150g/盒,150g/盒,4710126604117,16,冷凍課,12,432.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,雙十店,19-SEP-22,2,0000,0000,692205,INDOMIE辣味牛肉風味炒麵,80g,089686171617,66,進口食品課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,南湖店,19-SEP-22,2,0000,0000,816595,統一多多-牛奶  170ml*6/組,170ml*6瓶/組,4710088820051,15,冷藏課,9,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.14,0,0,1,57.14,0,0,0,0,0,0
34,中崙店,19-SEP-22,2,0000,0000,313390,義美燕麥全豆奶(無加糖)936ml,936ml,4710126206434,15,冷藏課,20,861.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,339.07,0,0,7,339.07,0,0,0,0,0,0
33,八德店,19-SEP-22,2,0000,0000,248190,台灣青蔥 100g+-10%/束,100g+-10%/束,4717060219995,11,蔬菜課,80,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1438,0,0,45,1438,0,0,0,0,0,0
37,鳳山店,19-SEP-22,2,0000,0000,167778,福樂自然零無加糖優酪乳150ml,150ml/罐,4710339006258,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74.29,0,0,6,74.29,0,0,0,0,0,0
7,台南店,19-SEP-22,2,0000,0000,216722,貝納頌咖啡(經典拿鐵) 290ml/瓶,290ml/瓶,4710063442438,15,冷藏課,5,129.35,0,0,-3,-77.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.71,0,0,1,25.71,0,0,0,0,0,0
1,平鎮店,19-SEP-22,2,0000,0000,226371,冷藏肉-雞里肌肉(大成)公斤,18公斤/箱,,14,肉品課,9,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,土城店,19-SEP-22,2,0000,0000,149796,北海鱈魚香絲寬條,53G,4710866000422,23,糖果餅乾課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-28.02,0,0,0,0,2,76.2,0,0,2,76.2,0,0,0,0,0,0
18,鮮食集,19-SEP-22,2,0000,0000,837846,(f)冷藏肉-豬梅花火鍋片(和榮意),250g/盒,,14,肉品課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,140,0,0,0,0,0,0,1,77,0,0,1,77,0,0,0,0,0,0
30,碧潭店,19-SEP-22,2,0000,0000,495126,桂格顆粒豆漿燕麥290ml,290ml/罐,4710043036251,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47.62,0,0,2,47.62,0,0,0,0,0,0
16,南湖店,19-SEP-22,2,0000,0000,133344,乖乖五香-狠大包 80g/包,80g/包 豬肉產地:日本、加拿大,4710015111566,23,糖果餅乾課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-24.6,0,0,0,0,2,53.34,0,0,2,53.34,0,0,0,0,0,0
17,台東店,19-SEP-22,2,0000,0000,549172,*光泉豆漿-無加糖鮮豆漿400ml,,4710105047720,15,冷藏課,4,62.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.24,0,0,1,15.24,0,0,0,0,0,0
36,嘉義店,19-SEP-22,2,0000,0000,464442,光泉花生米漿  1857ml,1857ml,4710105015828,15,冷藏課,4,207.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,168.57,0,0,3,168.57,0,0,0,0,0,0
17,台東店,19-SEP-22,2,0000,0000,519649,Sunkist芭樂果汁飲料900ml/盒,,4710095091048,15,冷藏課,20,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,87.62,0,0,2,87.62,0,0,0,0,0,0
9,中和店,19-SEP-22,2,0000,0000,820773,LCA506發酵乳-清爽零 100mlx10/組,100mlx10瓶/組,4710063336706,15,冷藏課,6,323.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,228.56,0,0,4,228.56,0,0,0,0,0,0
12,忠孝店,19-SEP-22,2,0000,0000,927198,紐西蘭洋蔥3kg+-5%/袋,3kg+-5%/袋,,11,蔬菜課,15,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2268,0,0,12,2268,0,0,0,0,0,0
9,中和店,19-SEP-22,2,0000,0000,701195,光泉全脂鮮乳 936ml/盒,936ml/盒,4710105010113,15,冷藏課,20,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,744,0,0,8,744,0,0,0,0,0,0
30,碧潭店,19-SEP-22,2,0000,0000,611790,e)冷藏肉台糖豬肋小排骨切塊400g/盒,400g/盒,,14,肉品課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,中崙店,19-SEP-22,2,0000,0000,816522,光泉無加糖濃黑豆漿-936ml/瓶,936ml/瓶,4710105011028,15,冷藏課,5,221.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,262.86,0,0,6,262.86,0,0,0,0,0,0
2,湳雅店,19-SEP-22,2,0000,0000,248106,*統一陽光糙米漿  450ml/盒,450ml/盒,4710088433343,15,冷藏課,20,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64.76,0,0,4,64.76,0,0,0,0,0,0
18,鮮食集,19-SEP-22,2,0000,0000,416350,越南娃娃菜200g+-10%/袋,200g+-10%/袋,,11,蔬菜課,6,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,165,0,0,3,165,0,0,0,0,0,0
10,土城店,19-SEP-22,2,0000,0000,567858,統一H2O純水 1500ml/瓶,1500ml/瓶,4710088425324,21,飲料課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-22.76,0,0,0,0,3,48.57,0,0,3,48.57,0,0,0,0,0,0
30,碧潭店,19-SEP-22,2,0000,0000,600776,馬爾斯M9 1包,焦油9mg 尼古丁0.7mg,4711588170707,29,煙草課,140,10319.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,碧潭店,19-SEP-22,2,0000,0000,881466,滷蹄膀切盤,,,17,熟餐課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-564,0,0,0,0,3,475.24,0,0,3,475.24,0,0,0,0,0,0
31,景平店,19-SEP-22,2,0000,0000,929661,農搾檸檬奇亞籽飲310ml,310ml,4710063416262,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.62,0,0,1,27.62,0,0,0,0,0,0
