"399366","12","9012","303","1","OPS$FB10","台灣聖女小蕃茄(約600克+-5%)/盒","","600克/盒","1","0","1","1","盒","1","1","140.0","0","1","0","8","169","0","2","N","1","N","N","N","3","N","Y","Y","","0","","","","50","聖女小蕃茄-600g/盒","Y","N","","1997-12-14 00:00:00","2022-10-04 00:00:00","Fresh_quote","6.0","100g","","","1","1997-12-14 00:00:00","N","","","","","","","","","","","","9012","0"
"438801","28","712","99","65","OPS$NB25","蜜妮高防曬乳液-SPF48 50ml/瓶","","","1","0","1","1","瓶","1","48","110.4","1","1","0","1","125","1","1","N","1","N","N","N","0","Y","Y","Y","","1095","547","","","6","","N","Y","","1998-03-26 00:00:00","2022-10-04 00:00:00","ahki02","5.0","10ml","","","","1998-03-26 00:00:00","N","543","","","","","","","","1","","","1483","1"
"838903","28","712","99","65","OPS$NB25","蜜妮高防曬控油隔離乳液 SPF50","BIORE UV PERFECT FACE MILK SPF50","30ml/瓶","3","0","1","1","瓶","1","24","183.0","1","1","0","1","229","1","1","N","1","N","N","N","0","Y","Y","Y","","1095","547","","","","","N","Y","","2007-05-14 00:00:00","2022-10-04 00:00:00","ahki02","0.3","100ml","","","","2007-05-14 00:00:00","N","543","","","","","","","","","","","1483","0"
"147840","28","712","99","34","OPS$NB25","妮維雅止汗爽身噴霧亮白系列","Nivea Deo Whitening Spray","150ml/瓶","9","0","1","1","瓶","1","24","147.43","1","1","0","1","185","1","1","N","1","N","N","N","0","Y","Y","Y","","1095","547","","","","","N","Y","","2005-03-30 00:00:00","2022-10-04 00:00:00","ahki02","1.5","100ml","","","","2005-03-30 00:00:00","N","605","","","","","","","","","","","9530","1"
"292773","12","7649","4","1","OPS$FB10","台灣椪柑(約200克+-5%)/公斤","","#25  200克/粒","1","1","1","1","Kg","1","1","65.0","0","1","0","8","85","0","2","N","1","N","N","N","4","N","Y","Y","","0","","","","","椪柑 公斤","Y","N","","2006-11-27 00:00:00","2022-10-04 00:00:00","Fresh_quote","10.0","100g","","","1","2006-11-27 00:00:00","N","","","","","","","","","","","","7649","0"
"309192","12","8860","303","1","OPS$FB10","台灣聖女小蕃茄/公斤","","公斤","1","1","1","1","Kg","1","1","220.0","0","1","0","8","250","0","2","N","1","N","N","N","4","N","Y","Y","","0","","","","","聖女小蕃茄 公斤","Y","N","","2006-11-28 00:00:00","2022-10-04 00:00:00","Fresh_quote","10.0","100g","","","1","2006-11-28 00:00:00","N","","","","","","","","","","","","8860","0"
"303654","12","7649","9","1","OPS$FB10","台灣高接梨5~6粒約1200克+-5%/盒","","5~6粒 1200克/盒","1","0","1","1","盒","1","1","90.0","0","1","0","8","149","0","2","N","1","N","N","N","3","N","Y","Y","","0","","","","","高接梨-5~6粒/盒","Y","N","","2006-11-28 00:00:00","2022-10-04 00:00:00","Fresh_quote","12.0","100g","","","1","2006-11-28 00:00:00","N","","","","","","","","","","","","7649","0"
"307047","12","7649","302","7","OPS$FB10","台灣金鑽鳳梨(約1500克+-5%)/支","","1500克/支","1","0","1","1","支","1","1","65.0","0","1","0","8","79","0","2","N","1","N","N","N","3","N","Y","Y","","0","","","","","金鑽鳳梨-1500g/支","Y","N","","2006-11-28 00:00:00","2022-10-04 00:00:00","Fresh_quote","15.0","100g","","","1","2006-11-28 00:00:00","N","","","","","","","","","","","","7649","0"
"307892","12","8860","303","1","OPS$FB10","台灣聖女小蕃茄(約600克+-5%) / 盒","","600克/盒","1","0","1","1","盒","1","1","135.0","0","1","0","8","169","0","2","N","1","N","N","N","3","N","Y","Y","","0","","","","","聖女小蕃茄-600g/盒","Y","N","","2006-11-28 00:00:00","2022-10-04 00:00:00","Fresh_quote","6.0","100g","","","1","2006-11-28 00:00:00","N","","","","","","","","","1","","","8860","0"
"302081","12","7649","6","3","OPS$FB10","台灣美濃瓜 (約300克+-5%) / 公斤","","300克+-5% / 粒","1","1","1","1","Kg","1","1","75.0","0","1","0","8","95","0","2","N","1","N","N","N","4","N","Y","Y","","0","","","","","美濃瓜 公斤","Y","N","","2006-11-28 00:00:00","2022-10-04 00:00:00","Fresh_quote","10.0","100g","","","1","2006-11-28 00:00:00","N","","","","","","","","","","","","7649","0"
"305721","12","8860","309","10","OPS$FB10","台灣白肉火龍果(約350克+-5%)/公斤","","350克 / 粒","1","1","1","1","Kg","1","1","80.0","0","1","0","8","105","0","2","N","1","N","N","N","4","N","Y","Y","","0","","","","","台灣白肉火龍果約350克/粒","Y","N","","2006-11-28 00:00:00","2022-10-04 00:00:00","Fresh_quote","10.0","100g","","","1","2006-11-28 00:00:00","N","","","","","","","","","","","","8860","0"
