"私房小廚 杏仁茶/900ml","900ml/瓶","4714582894839","15","冷藏課"
"TRENY棉紗手套-12雙入","12雙入","4719867293383","34","家庭修繕"
"男輕量機能保暖衣-P 灰#L","","4711667452984","57","男女內著課"
"已禮-滾動撥蒜器","02101003","4943273500241","33","廚房與餐具用品課"
"原萃冷萃蜜香紅茶寶特 450ml","","4710018323300","21","飲料課"
"白鴿貼心衣物手洗精補充包","800g","4710186184802","69","家庭清潔洗劑課"
"舒適輕薄長袖牛仔襯衫 XL","AC05211  19S (M-2L)","4715838229498","51","男裝課"
"統一蔥燒牛肉麵 90gx5包/組","豬肉產地:西班牙","4710088410382","20","米,麵,南北貨課"
"摩卡現在最好拿鐵咖啡","18gx25包/袋","4710179374500","26","沖調課"
"每日C100%綜合蔬果汁310ml","310ml","4710063414534","15","冷藏課"
"台灣大芋頭/公斤","kg","","11","蔬菜課"
"芋頭塊 300g/包","300g/包","4717060604715","11","蔬菜課"
"牛頭牌泰式甜辣醬","890g/瓶","4711258592013","17","熟餐課"
"男戶外防潑口袋短褲 藍#2L","DW115017","4711085068347","51","男裝課"
"台灣青江菜250g+-5%/袋","250g+-5%/袋","4717060203093","11","蔬菜課"
"KB超凝結貓砂(原味) 10L/包","10L/包","4711481498106","22","寵物課"
"大拇指掀蓋式整理箱 R600-45L","58x41.5x33cm±10%","4710970785659","31","家俱與收納課"
"媚點 極上粉嫩保濕粉底霜- 淺膚色","OC-B1","4973167937778","28","美容用品課"
"豐原豆乳雞","約18公斤","","17","熟餐課"
"雀巢茶品翡翠檸檬蜜茶300mlx24包/箱","300mlx24包/箱","4710626195238","21","飲料課"
"KAWA男休閒鞋#321001# 咖","聚氯乙烯/聚氯乙烯,25~275","","56","鞋課"
"Sanrio_按壓橡皮擦","","4710150218748","38","文具"
"HT1/2氣墊襪三入超值 黑","HT-A32002","4713319539708","57","男女內著課"
"液晶多功能打鈴鬧鐘","TW-5207 10.3*11*7.3","4717404052073","70","家庭裝飾品課"
"間諜家家酒25KPP線圈筆記","","4711048917880","38","文具"
"蠟筆小新男短袖上衣 藍#XL","SC-NX003","4710577419438","51","男裝課"
"典雅全開彩披雨衣粉紅 3XL","3XL","4710733176021","35","汽車百貨"
"群帶菜(佳佳)","","4712378107477","17","熟餐課"
"200g披薩麵團(鮮食集轉貨)","200g +-9%/個","","18","烘焙課"
"綠野農莊里肌肉250g單包真空Mini包","","4716814682313","14","肉品課"
"蘋果好朋友1300ml","1300ml","4710784963199","15","冷藏課"
"男暖絨機能保暖衣- P 丈青#L","","4711667452748","57","男女內著課"
"彈力五口袋牛仔褲 黑#L","A5704~A5706 21S(M-5L)","4717744092548","51","男裝課"
"*達人上菜鐵板麵-黑胡椒320g±9g/包","320g±9g/包","4713494161329","15","冷藏課"
"台灣小黃瓜80g+-5%/條","80g+-10%/條","","11","蔬菜課"
"MT純棉五片式平口褲 混色#XL","MT-P2006","4711033180367","57","男女內著課"
"台灣韭菜黃250g+-10%/袋","250g+-10%/袋","4717060103119","11","蔬菜課"
"IQ DOG 聰明乾狗糧-牛肉口味15KG","","8850477371019","22","寵物課"
"尚泰源花生糯米腸(6條)","600g/包","4713268448885","15","冷藏課"
"樂扣樂扣地球杯700ML/B3C15藍","HAP608B-03","4711667239875","33","廚房與餐具用品課"
"福樂鈣多多雙麥牛乳936ml","936ml","4710339006630","15","冷藏課"
"有機洋菇200g+-5%/盒","200g+-5%/盒","4711243037222","11","蔬菜課"
"牛頭牌土豆二代212229 藍#10","乙烯醋酸乙烯酯/黑/藍/紫紅","","56","鞋課"
"馬K紅K雙丁 250g/包","250g/包","4717060640164","11","蔬菜課"
"雪屋 (輕辣)","190g/包","4713153343462","23","糖果餅乾課"
"玲瓏飲水器","","4715645070191","22","寵物課"
"羅馬生乳包(巧克力)2入","100gX2入 +-9%/盒","","18","烘焙課"
"蓮藕(真空) kg","kg","","11","蔬菜課"
"網眼透氣工作牛仔長褲 黑#XL","A5701黑 21SS (M-5L)","4717744092012","51","男裝課"
"冷藏肉(綠)原野放山雞骨腿切塊500g","","","14","肉品課"
"台灣A菜250g+-5%/袋","250g+-5%/袋","4717060203185","11","蔬菜課"
"水手牌法國麵包粉","22公斤/包","4712697002224","18","烘焙課"
"鹹豬肉切片","2kg/包，7包/箱","","17","熟餐課"
"Haagen-Dazs抹茶冰淇淋 473ml/盒","473ml/盒","074570703555","16","冷凍課"
"Victoria天然抗菌人體工學乳膠枕","58*33*11(9)cm","4711086155602","32","家用紡品"
"收銀台","商品尺寸約：26*18*12 CM","4712559101812","62","玩具課"
"冷藏肉-豬尾(嘉)公斤","公斤","4712523162382","14","肉品課"
"神盾高效能玻璃撥水劑","","4713792948455","35","汽車百貨"
"大拇指滑輪整理箱 85L","68.2公分x47.3公分x41公分","4710970832841","31","家俱與收納課"
"冷藏肉-雞肫(卜蜂)/公斤","kg","4711277210042","14","肉品課"
"FILA男慢跑鞋1J382W 黑#8.5","1J382W001 / 1J382W441","","56","鞋課"
"卡斯達柔絲絨床包兩用被組 雙人","150X186cm","4719164846749","32","家用紡品"
"橫山拾穗鐵板麵-黑胡椒醬330g/包","330g/包","4712511371062","15","冷藏課"
"屏東紅豆600g","600g","4715635097931","20","米,麵,南北貨課"
"極凈晒衣架18夾","直徑31.5CM/X314-2","4717673034701","61","家庭清潔用具課"
"蝦仁-公斤","","","13","水產課"
"按摩滾筒","2415279/8408354","3583788166504","36","運動與健身"
"台糖手工水餃-豬肉韭菜","990g/包","4710311982419","16","冷凍課"
"頂級堅果百匯","255g±9%/個","","18","烘焙課"
"可愛小熊室外拖#MA036 白#25","EVA/EVA;36-45","4711106982706","56","鞋課"
"桂格蜜人蔘盒裝60ml*19/盒","60ml*19瓶/盒","4710043026382","63","健康生活"
"愛之味牛奶花生 340gx6罐/組","340gx6罐/組","4710626521761","21","飲料課"
"祕魯藍莓(約125克+-5%)/盒","約125g+-5%/盒","815887010277","12","水果課"
"大拇指女足弓防護氣墊機能襪 灰#22~24cm","","","57","男女內著課"
"美國結球萵苣 350g+-5%/粒","350g+-5%/粒","738761300151","11","蔬菜課"
"雲畫厚底拖#MA046# 粉#25.5","EVA/EVA;235-255","4711106985875","56","鞋課"
"韓國辣炒年糕420克","420 g","4711436849014","15","冷藏課"
"商業周刊","$99/ 英屬蓋曼","9771021953002","37","圖書&影音出版品"
"彈力貓鬚刷洗直筒褲 XL","A5710 21W (M-5L)","4717744092869","51","男裝課"
"晶鑽鋁合金汽嘴蓋切銷圓型(鈦)","1卡","4716329495859","35","汽車百貨"
"男輕量機能保暖衣-P 丈青#M","","4711667452946","57","男女內著課"
"歐妮醬-三藻合一潔牙骨","250g","4712928262069","22","寵物課"
