"873067","16","9989","28","10","OPS$FB13","雅方古早味-紅豆冰棒 5支/盒","","5支/盒","1","0","1","1","盒","1","6","38.2","1","1","0","0","49","1","0","Y","1","N","N","N","0","Y","Y","Y","","730","486","","","0","","N","N","","2003-12-16 00:00:00","2022-10-10 00:00:00","pri_policy","3.5","100g","","","3","2003-12-16 00:00:00","N","3263","","","","","","","","","","","9989","0"
"316938","16","7361","65","5","OPS$FB13","冰冰好料理-手工霸王餃 韭菜40粒","Bin Bin Cook-Well King Leek Pork","1200g/包","1","0","5","1","包","1","12","143.5","1","1","0","0","165","1","0","Y","1","N","N","N","0","Y","Y","Y","","365","243","","","","","N","N","售完為止","2009-10-27 00:00:00","2022-10-10 00:00:00","pri_policy","12.0","100g","","","3","2009-10-27 00:00:00","N","3215","","","","","","","","","","","7361","1"
"529329","23","712","60","27","OPS$FB11","哈瑞寶芒果風味Q軟糖175g","Mango 175g","175g","36","0","6","1","包","1","12","88.23","1","1","0","1","109","1","1","N","1","N","N","N","0","Y","Y","Y","","455","227","","","","","N","Y","","2022-05-16 00:00:00","2022-10-10 00:00:00","ahki02","1.75","100g","","","","2022-06-12 00:00:00","N","","","","","","","","","","","","10021","0"
"881796","25","712","781","1","OPS$FB05","味正500g味精*盒","The flavor is 500g MSG * Boxes","500g*盒","1","0","5","1","盒","1","24","41.07","1","1","0","1","47","1","0","Y","1","N","N","N","0","Y","Y","Y","","1825","912","","","","","N","Y","","2012-10-05 00:00:00","2022-10-10 00:00:00","pri_policy","5.0","100g","","","","2012-11-01 00:00:00","N","4522","","","","","","","","","","","9947","0"
"619962","16","11646","28","10","OPS$FB13","金點紅豆牛奶雪糕","","70克*5支/盒","1","0","5","1","盒","2","8","63.0","1","1","0","0","120","1","0","Y","1","N","N","N","0","Y","Y","Y","","730","486","","","","","N","N","售完為止","2020-07-17 00:00:00","2022-10-10 00:00:00","pri_policy","3.5","100g","","","3","2020-07-30 00:00:00","N","","","","","","","","","","","","11646","0"
"619974","16","11646","28","10","OPS$FB13","金點綜合四果雪糕","","70克*5支/盒","1","0","5","1","盒","2","8","63.0","1","1","0","0","120","1","0","Y","1","N","N","N","0","Y","Y","Y","","730","486","","","","","N","N","售完為止","2020-07-17 00:00:00","2022-10-10 00:00:00","pri_policy","3.5","100g","","","3","2020-07-30 00:00:00","N","","","","","","","","","","","","11646","0"
"619977","16","11646","28","10","OPS$FB13","金點紅豆粉粿雪糕","","70克*5支/盒","1","0","5","1","盒","2","8","63.0","1","1","0","0","120","1","0","Y","1","N","N","N","0","Y","Y","Y","","730","486","","","","","N","N","售完為止","2020-07-17 00:00:00","2022-10-10 00:00:00","pri_policy","3.5","100g","","","3","2020-07-30 00:00:00","N","","","","","","","","","","","","11646","0"
"321334","25","712","74","50","OPS$FB05","健康好理由純芥花油 2.6L","Canadian Canola Oil","2.6L/瓶","1","0","1","1","瓶","1","6","284.76","1","1","0","1","329","1","0","Y","1","N","N","N","0","Y","Y","Y","","540","360","","","","","N","Y","","2014-03-03 00:00:00","2022-10-10 00:00:00","pri_policy","26.0","100ml","","","","2014-03-04 00:00:00","N","","","","","","","","","","","","8889","1"
"468435","20","713","720","11","OPS$FB16","科學麵原味(節令版)袋","KE SHIUE MIAN -Origianl Flavor","40g*12","1","0","5","1","箱","1","1","104.76","1","1","0","9","120","1","0","Y","1","N","N","N","0","Y","Y","Y","","180","120","","","","","N","Y","20210831","2014-05-17 00:00:00","2022-10-10 00:00:00","pri_policy","4.8","100G","","","","2014-06-30 00:00:00","N","1428","","","","","","","","","","","3678","0"
"451809","28","712","98","20","OPS$NB25","美吾髮經典檀香精油沐浴露","Classic Sandalwood Essential","700ml","1","0","1","1","瓶","1","12","136.38","1","1","0","1","179","1","1","Y","1","N","N","N","0","Y","Y","Y","","1095","547","","","","","N","Y","","2022-05-13 00:00:00","2022-10-10 00:00:00","ahki02","7.0","100ml","","","","2022-06-09 00:00:00","N","","","","","","","","","","","","1256","0"
