"生魚片便當","","","13","水產課"
"*五木香菇味拉麵 4入/包","4片/入","4710175565216","20","米,麵,南北貨課"
"三好花蓮在地小農米2.5KG","2.5KG","4710265033304","20","米,麵,南北貨課"
"光泉低脂鮮乳 1857ml/瓶","1857ml/瓶","4710105015125","15","冷藏課"
"四季釀造醬油1600ml","1600ml","4710088460196","25","食用油&罐頭醬料課"
"三好履歷霧峰芋香米1.5KG","1.5KG/包 CNS一等","4710265032604","20","米,麵,南北貨課"
"台灣韭菜黃250g+-10%/袋","250g+-10%/袋","4717060103119","11","蔬菜課"
"光泉花生米漿  1857ml","1857ml","4710105015828","15","冷藏課"
"貝納頌-經典拿鐵3入","290ml*3瓶","4710063444487","15","冷藏課"
"淨世代環保抽取式衛生紙","100抽x12包","4712425025464","27","家用紙製品課"
"每日C 100%葡萄汁綜合果汁310ml/瓶","310ml/瓶(PET瓶)","4710063414985","15","冷藏課"
"FILA男棉長袖T 7004 丈青#L","1TEW7004BK / 1TEW7004NV","","51","男裝課"
"樂扣樂扣地球杯700ML/B3C15藍","HAP608B-03","4711667239875","33","廚房與餐具用品課"
"林鳳營實感精品優格-綜合莓果400g","400g","4710063338700","15","冷藏課"
"慧心犬糧牛肉+牛奶口味幼犬配方3KG","3KG","8850477811355","22","寵物課"
"綠天使格蘭菜(產銷履歷)250g/包","250g/包","4717060912100","11","蔬菜課"
"蘋果好朋友1300ml","1300ml","4710784963199","15","冷藏課"
"義美古早傳統豆奶-原味 2000ml/瓶","2000ml/瓶","4710126194397","15","冷藏課"
"Mars童純棉印花家居服 粉#150cm","","","54","童裝及嬰兒服課"
"童羅紋平口褲 白#140cm","","4717011767698","54","童裝及嬰兒服課"
"樂米穀場-台東池上產越光米1.5KG","1.5kg/包","4713106631622","20","米,麵,南北貨課"
"卡比獸三段立體拉桿書包","","4715883412999","38","文具"
"玉泉花雕酒(0.6L)","600ml					","4711588211004","24","啤酒與烈酒課"
"光泉豆漿 936ml/瓶","936ml/瓶","4710105011042","15","冷藏課"
"義美全脂鮮乳1750ml/盒","1750ml/盒","4710126150348","15","冷藏課"
"比菲多軟糖(原味)75g","75公克","4710784963151","23","糖果餅乾課"
"蘇菲超熟睡內褲型衛生棉L號2片","L號/2片","4710054139958","27","家用紙製品課"
"大拇指香焙綜合堅果1000g","1000g","4710970802998","23","糖果餅乾課"
