STR_NO,STR_NA,TDATE,JTYPE,STIME,TTIME,GOO_NO,PRDTNAME,PRDTSPEC,BARCODE,PRDTDEPT,PRDTDEPTNAME,VIQTY,VIAMT,VIAJQTY,VIAJAMT,VRQTY,VRAMT,VRAJQTY,VRAJAMT,WIQTY,WIAMT,WIAJQTY,WIAJAMT,WRQTY,WRAMT,WRAJQTY,WRAJAMT,TNFIQTY,TNFIAMT,TNFOQTY,TNFOAMT,SKIQTY,SKIAMT,SKOQTY,SKOAMT,SQTY,SAMT,RQTY,RAMT,SOQTY,SOAMT,SIQTY,SIAMT,FUQTY,FUAMT,DEQTY,DEAMT
14,斗南店,26-SEP-22,2,0000,0000,987609,五月花超強韌廚房紙巾60組*6捲,60組*6捲,4710104106107,27,家用紙製品課,32,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,南湖店,26-SEP-22,2,0000,0000,352044,Dr.Milker英式鮮奶茶250*2,250ml*2,4710088430212,15,冷藏課,3,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,140.96,0,0,2,140.96,0,0,0,0,0,0
10,土城店,26-SEP-22,2,0000,0000,541057,海苔小卷(便利包),50g/包,4972767003715,23,糖果餅乾課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-84.24,0,0,0,0,2,100.95,0,0,2,100.95,0,0,0,0,0,0
9,中和店,26-SEP-22,2,0000,0000,921081,FILA男棉長袖T 7000 灰#L,1TEW7000BK / 1TEW7000MY,,51,男裝課,3,2802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,鮮食集,26-SEP-22,2,0000,0000,611313,妙管家重污垢去除超濃縮洗衣粉2Kg,2kg,4710303341637,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,中和店,26-SEP-22,2,0000,0000,626397,光泉高鈣牛乳 936ml/盒,936ml/盒,4710105010267,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,131.42,0,0,2,131.42,0,0,0,0,0,0
16,南湖店,26-SEP-22,2,0000,0000,564811,每日C 100%葡萄汁綜合果汁1300ml/瓶,1300ml/瓶,4710063414893,15,冷藏課,12,1163.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,碧潭店,26-SEP-22,2,0000,0000,669474,桂冠花枝餃 100g/盒,100g/盒,4710011409056,16,冷凍課,25,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,中和店,26-SEP-22,2,0000,0000,647505,桂冠日式黃金胡麻蒸蛋燒,240克/包(2粒/包),4710011416146,15,冷藏課,20,897.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,87.62,0,0,2,87.62,0,0,0,0,0,0
7,台南店,26-SEP-22,2,0000,0000,288918,桂格喝的燕麥(原味)  920ml,920ml/瓶,4710043024579,15,冷藏課,10,514.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,481.91,0,0,9,481.91,0,0,0,0,0,0
18,鮮食集,26-SEP-22,2,0000,0000,51029,福樂蘋果保久乳 200mlx6包/組,200mlx6包/組,4710043001259,21,飲料課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
