"18","鮮食集","2022-10-10 00:00:00","2","0000","0000","706308","冰鮮鮭魚菲力300G","","","13","水產課","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","360","0","0","0","0","0","0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0","0","-1","-180"
"13","中壢店","2022-10-10 00:00:00","2","0000","0000","953392","統一瑞穗全脂鮮乳 1858ml/瓶","1858ml/瓶","4710088434593","15","冷藏課","72","11156.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.0","9122.0","0","0","55.0","9122.0","0.0","0.0","0","0","0","0"
"3","忠明店","2022-10-10 00:00:00","2","0000","0000","290568","光泉果汁時刻-100%葡萄綜合果汁1400","1400ml","4710105010465","15","冷藏課","6","644.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","103.81","0","0","1.0","103.81","0.0","0.0","0","0","0","0"
"37","鳳山店","2022-10-10 00:00:00","2","0000","0000","701195","光泉全脂鮮乳 936ml/盒","936ml/盒","4710105010113","15","冷藏課","10","884","0","0","-41","-3624.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0","558.0","0","0","6.0","558.0","0.0","0.0","0","0","0","0"
"18","鮮食集","2022-10-10 00:00:00","2","0000","0000","685875","(e)美國prime冷藏梅花牛排500g/盒","","","14","肉品課","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","442.14","0","0","0","0","0","0","1.0","285.0","0","0","1.0","285.0","0.0","0.0","0","0","0","0"
"30","碧潭店","2022-10-10 00:00:00","2","0000","0000","543246","統一園之味-柳橙汁  900ml/瓶","900ml/瓶","4710088637192","15","冷藏課","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","139.04","0","0","2.0","139.04","0.0","0.0","0","0","0","0"
"17","台東店","2022-10-10 00:00:00","2","0000","0000","797580","Air Corn空氣玉米脆餅-巧達起司味","81g/包","4710176041634","23","糖果餅乾課","0","0","0","0","0","0","0","0","0","0","0","0","-1","-24.76","0","0","0","0","0","0","0","0","0","0","1.0","31.43","0","0","1.0","31.43","0.0","0.0","0","0","0","0"
"6","員林店","2022-10-10 00:00:00","2","0000","0000","466071","養樂多300Light活菌發酵乳100ml*","100mlx10瓶/組","4711080061114","15","冷藏課","20","1428.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.0","762.84","0","0","9.0","762.84","0.0","0.0","0","0","0","0"
"16","南湖店","2022-10-10 00:00:00","2","0000","0000","517484","家樂氏纖穀脆-超級莓果","330g","9555805800351","26","沖調課","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","-189.25","0","0","0","0","3.0","568.56","0","0","3.0","568.56","0.0","0.0","0","0","0","0"
"32","佳里店","2022-10-10 00:00:00","2","0000","0000","806300","貝納頌咖啡(經典曼特寧風味) 290ml","290ml/瓶","4710063334016","15","冷藏課","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","53.34","0","0","2.0","53.34","0.0","0.0","0","0","0","0"
