STR_NO,STR_NA,TDATE,JTYPE,STIME,TTIME,GOO_NO,PRDTNAME,PRDTSPEC,BARCODE,PRDTDEPT,PRDTDEPTNAME,VIQTY,VIAMT,VIAJQTY,VIAJAMT,VRQTY,VRAMT,VRAJQTY,VRAJAMT,WIQTY,WIAMT,WIAJQTY,WIAJAMT,WRQTY,WRAMT,WRAJQTY,WRAJAMT,TNFIQTY,TNFIAMT,TNFOQTY,TNFOAMT,SKIQTY,SKIAMT,SKOQTY,SKOAMT,SQTY,SAMT,RQTY,RAMT,SOQTY,SOAMT,SIQTY,SIAMT,FUQTY,FUAMT,DEQTY,DEAMT
32,佳里店,25-SEP-22,2,0000,0000,753311,GATSBY 潔面濕紙巾(控油型) 超值包,42片入,4902806486742,28,美容用品課,0,0,0,0,0,0,0,0,3,293.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,湳雅店,25-SEP-22,2,0000,0000,369726,克潮靈環保除濕桶補充包-去霉味,350g*3包入,4710731160107,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,48,2438.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,360.01,0,0,7,360.01,0,0,0,0,0,0
30,碧潭店,25-SEP-22,2,0000,0000,280206,法國隆格多克法典紅酒,750ml,3700619319582,30,葡萄酒,0,0,0,0,0,0,0,0,18,3804.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,忠孝店,25-SEP-22,2,0000,0000,270435,雞蛋布丁 100gx12個/組,100gx12個/組,4710063512018,15,冷藏課,5,497.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102.86,0,0,1,102.86,0,0,0,0,0,0
12,忠孝店,25-SEP-22,2,0000,0000,124560,薪傳龍眼蜂蜜風味糖漿500g/罐,500g/罐,4710945102146,26,沖調課,0,0,0,0,0,0,0,0,24,1534.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150.48,0,0,2,150.48,0,0,0,0,0,0
17,台東店,25-SEP-22,2,0000,0000,923853,哈瑞寶萬聖派對分享包250g,250g,4001686703021,23,糖果餅乾課,0,0,0,0,0,0,0,0,16,2004.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,碧潭店,25-SEP-22,2,0000,0000,818752,純喫茶檸檬綠茶,,4710088471444,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.95,0,0,1,20.95,0,0,0,0,0,0
12,忠孝店,25-SEP-22,2,0000,0000,164163,義美 全豆純釀造滷醬油520毫升/盒,520毫升/盒,4710126397125,25,食用油&罐頭醬料課,0,0,0,0,0,0,0,0,12,1667.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,景平店,25-SEP-22,2,0000,0000,362098,義大利LAVAZZA羅薩極品咖啡粉,250g/包,80007128,66,進口食品課,0,0,0,0,0,0,0,0,20,2442.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,218.1,0,0,1,218.1,0,0,0,0,0,0
30,碧潭店,25-SEP-22,2,0000,0000,227579,台灣乾薑/公斤,kg,,11,蔬菜課,20,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.062,950,0,0,6.062,950,0,0,0,0,0,0
96,雙十店,25-SEP-22,2,0000,0000,479541,純萃喝-曼特寧  275ml/瓶,275ml/瓶,4710784962574,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,雙十店,25-SEP-22,2,0000,0000,770469,義美好菌多100活菌發酵乳875ML,875ML,4710126153028,15,冷藏課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,台南店,25-SEP-22,2,0000,0000,202032,台灣鮑魚菇 600g+-5%/袋,600g+-5%/袋,4715691100200,11,蔬菜課,2,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,114,0,0,2,114,0,0,0,0,0,0
14,斗南店,25-SEP-22,2,0000,0000,441034,刷樂全效護理漱口水-隨身包,12ml*10入,4712720476367,28,美容用品課,0,0,0,0,0,0,0,0,12,875.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,土城店,25-SEP-22,2,0000,0000,347943,味全巧克力牛乳375ml,375ml,4710063314414,15,冷藏課,0,0,0,0,-5,-89.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,144.76,0,0,6,144.76,0,0,0,0,0,0
12,忠孝店,25-SEP-22,2,0000,0000,372138,妙管家洗衣槽專用清潔劑150g*4袋/盒,150g*4袋,4710303340661,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,24,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67.62,0,0,1,67.62,0,0,0,0,0,0
10,土城店,25-SEP-22,2,0000,0000,216060,蜂蜜奶油小牛角 6個/包,16g±9%*6個,,18,烘焙課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,379.04,0,0,6,379.04,0,0,0,0,0,0
16,南湖店,25-SEP-22,2,0000,0000,400998,台灣大豆苗150g+-10%/包,150g+-10%/包,4717060302161,11,蔬菜課,20,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1898,0,0,28,1898,0,0,0,0,0,0
32,佳里店,25-SEP-22,2,0000,0000,245172,寶礦力水得900ml/瓶,900ml/瓶,4716426811033,21,飲料課,0,0,0,0,0,0,0,0,12,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53.34,0,0,2,53.34,0,0,0,0,0,0
2,湳雅店,25-SEP-22,2,0000,0000,618015,山東白蘿蔔絲500g+-5%/包,500g+-5%/包,,11,蔬菜課,7,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,中和店,25-SEP-22,2,0000,0000,154743,沙威隆潔身液1000ml,,4718262105017,28,美容用品課,0,0,0,0,0,0,0,0,12,1714.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,340.96,0,0,2,340.96,0,0,0,0,0,0
10,土城店,25-SEP-22,2,0000,0000,638352,味全木瓜牛乳375ml,375ml,4710063316371,15,冷藏課,24,429.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,289.52,0,0,15,289.52,0,0,0,0,0,0
18,鮮食集,25-SEP-22,2,0000,0000,335067,台灣白精靈菇600g+-5%/包,600g+-5%/包,4710958052803,11,蔬菜課,4,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,178,0,0,2,178,0,0,0,0,0,0
18,鮮食集,25-SEP-22,2,0000,0000,617023,西班牙布丁,650+-9%/盒,4710970687083,18,烘焙課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,213.36,0,0,0,0,0,0,8,491.42,0,0,8,491.42,0,0,0,0,0,0
13,中壢店,25-SEP-22,2,0000,0000,409302,台灣紅蘿蔔 600g+-5%/袋,600g+-5%/袋,4713327231977,11,蔬菜課,120,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,4007,0,0,136,4007,0,0,0,0,-1,-24.37
9,中和店,25-SEP-22,2,0000,0000,803232,約翰走路黑牌12年雪莉版威士忌1L,1L,5000267184753,24,啤酒與烈酒課,0,0,0,0,0,0,0,0,12,9200.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,碧潭店,25-SEP-22,2,0000,0000,317298,Cheers Bee蜂蜜氣泡水590ml*4瓶,590ml*4瓶/組,4710095913869,21,飲料課,0,0,0,0,0,0,0,0,6,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,鮮食集,25-SEP-22,2,0000,0000,421518,舒跑鹼性離子水1500ml/瓶,1500ml/瓶,4710421072604,21,飲料課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,八德店,25-SEP-22,2,0000,0000,951144,統一AB優酪乳-無糖 517ml/瓶,517ml,4710088821799,15,冷藏課,15,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,514.32,0,0,12,514.32,0,0,0,0,0,0
9,中和店,25-SEP-22,2,0000,0000,649434,台灣金針菇 200g+-5%/包,200g+-5%/包,4715691100026,11,蔬菜課,600,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,4660,0,0,467,4660,0,0,0,0,0,0
