"蕾媽媽 東北酸白菜鍋","1000g","4712523200695","16","冷凍課"
"舒適牌烏爪潤滑刀片 10片/匣","","4710117603235","28","美容用品課"
"*大拇指衣物柔軟精補充包 蜜桃香","2000ml","4710970777722","69","家庭清潔洗劑課"
"OP花香分解袋-薰衣草香- (大)","70*65cm/500g/45L/3捲/27張+-5%","4710660880411","69","家庭清潔洗劑課"
"統一純喫茶-紅茶  960mlx3瓶/組","960mlx3瓶/組","4710088437143","15","冷藏課"
"便利型薄床墊保潔布套-單人","3x6.2尺","4717557237181","32","家用紡品"
"阿Q桶麵雞汁排骨風味 107gx3桶/組","豬肉產地:西班牙","4710088414359","20","米,麵,南北貨課"
"味王排骨雞湯麵93g*5包/組","豬肉產地:台灣","4710008290025","20","米,麵,南北貨課"
"每日C 100%葡萄汁綜合果汁310ml/瓶","310ml/瓶(PET瓶)","4710063414985","15","冷藏課"
"大補帖-當歸鴨細麵 102gx2入/組","","4710088414007","20","米,麵,南北貨課"
"BearII童室外拖# 粉#30","EVA/EVA;30/31 32/33 34/34","4711106982911","56","鞋課"
"聲寶55QLED 4K聯網顯示器QM-55RB120","QM-55RB120(無視訊盒)","4718060119353","41","電視及音響"
"巧易收棉被壓縮袋(L)","","4710747771113","31","家俱與收納課"
"陳皮李(有籽)/400g","400g","4713507000775","23","糖果餅乾課"
"Morino我們的星座方巾 白","33x36cm,460gm/m2(±5%)","4711605374996","32","家用紡品"
"潮流霧面雨衣 L","","4710623860511","35","汽車百貨"
"東元臥式冷凍櫃194L","RL2017W","4718074200214","42","大家電"
"極致-生吐司","510g±9%/個","","18","烘焙課"
"歡樂包 珍珠球#10吋","","4711140318127","62","玩具課"
"可麗舒除臭抽取衛生紙","100抽x12包","4710036721065","27","家用紙製品課"
"澎澎MAN麝香瑪卡控油蓬鬆洗髮露650g","650g","4710186057908","28","美容用品課"
"幫寶適超薄乾爽M 200片箱裝","200片","4902430894487","27","家用紙製品課"
"惠爾佳水晶絨腰靠墊 藏青","60x30cm","6940598045028","32","家用紡品"
"莫蘭迪蛋型洗衣刷","11x6.5x5cm","6973375772237","61","家庭清潔用具課"
"摺疊收納籃(大)","30.5x20.5x12cm","6941111161171","31","家俱與收納課"
"超值素色浴巾 藍","70x125cm","","32","家用紡品"
