"桂冠 飛魚蛋  120g/盒","120g/盒","4710011432276","16","冷凍課"
"(e)美國prime冷藏梅花牛排500g/盒","","","14","肉品課"
"永備碳鋅電池3號16入","","8999002511381","34","家庭修繕"
"原味小餐包12入","32gX12入±9%/包","","18","烘焙課"
"長思黑糖蜜棗","235g","6922017031706","23","糖果餅乾課"
"紀文 迷你牛蒡卷/160g","160g/包","4718535040526","16","冷凍課"
"光泉黃金豆米漿 1857ml/瓶","1857ml/瓶","4710105015255","15","冷藏課"
"小老板超級大海苔超值包-辣味","54g/包","8858702406987","66","進口食品課"
"涼感加大床包 綠","180X186CM(6X6.2尺)","4715387041145","32","家用紡品"
"台灣川七200g+-5%/盒","200g+-5%/盒","","11","蔬菜課"
"義美鮮奶茶900ml","900ml","4710126198470","15","冷藏課"
"台灣柳丁(約3公斤+-5%)/袋","約3kg+-5%/袋 (#21 約24~33粒)","4712487612213","12","水果課"
"極致-生吐司","510g±9%/個","","18","烘焙課"
"每日C果肉有感100%火龍果綜合果汁","800ml/瓶","4710063426636","15","冷藏課"
"光泉希臘式優酪500g/個","PP500g/個","4710105001456","15","冷藏課"
"*春風輕巧包抽取衛生紙100抽*10包串","100抽*10包/串","4712425010668","27","家用紙製品課"
"(f)冷藏肉-新鮮豬絞肉(和榮意)","250g/盒","","14","肉品課"
"殺菌全蛋液","10袋/箱","","18","烘焙課"
"越南青花菜 180g+-5%/粒","180g+-5%/粒","","11","蔬菜課"
"統一純喫茶-烏龍青茶  650ml/盒","650ml/盒","4710088641274","15","冷藏課"
"新激涼冰觸感雙人涼被 藍","5x6尺(150x180cm)","4715387046881","32","家用紡品"
"燒ゑ慢燒牛奶(原味乳飲品)1000ml","1000ml","4710616590173","15","冷藏課"
"奇美40型低藍光液晶顯示器TL-40A800","TL-40A800(#626805)","4713170844003","41","電視及音響"
"義美酸梅湯946ml","","4710126191136","15","冷藏課"
"光泉花生米漿  1857ml","1857ml","4710105015828","15","冷藏課"
"短袖條格襯衫 綠#XL","AC05233 20SS M-2L","4717744089890","51","男裝課"
"每日C100%綜合蔬果汁800ml","800ml","4710063414527","15","冷藏課"
"鴿蛋250G/盒","250G/盒","","13","水產課"
"NO.303咖啡豆-藍山","","4712277221069","26","沖調課"
"網眼透氣牛仔短褲 4L","A612-314 21SS (M-5L)","4717744092210","51","男裝課"
"蘋果好朋友1300ml","1300ml","4710784963199","15","冷藏課"
"義美無糖台灣四季春600ml","600ml","4710126198425","15","冷藏課"
"鮭蝦雙拼","盒","","13","水產課"
"光泉牛乳-巧克力 1857ml/瓶","1857ml/瓶","4710105015156","15","冷藏課"
"光泉OAT燕麥奶-可可榛果936ml","936ml","4710105010441","15","冷藏課"
"Mars童陽離子印花短T 深灰#130cm","","","54","童裝及嬰兒服課"
"馬芬蛋糕(巧克力口味)","110g+-9%/個","","18","烘焙課"
