"794091","20","712","720","2","OPS$FB16","維力媽媽麵蒜香排骨風味麵80g*5/組","","80g*5包/組","1","0","5","1","組","1","6","60.96","1","1","0","1","75","1","1","Y","1","N","N","N","0","Y","Y","Y","","180","120","","","","","N","Y","","2022-09-22 00:00:00","2022-10-16 00:00:00","ahki02","4.0","100G","","","","","N","","","","","","","","","","","","1516","0"
"877119","43","752","466","3","OPS$NB18","象印微電腦熱水瓶 5L","ElectricAir Pot","CD-LPF50","3","0","1","1","台","1","1","4160.0","1","1","0","3","4590","1","1","N","1","N","N","N","0","Y","Y","Y","","","","","","","","N","Y","","2012-09-25 00:00:00","2022-10-17 00:00:00","ahki04","1.0","台","","","","2012-09-28 00:00:00","N","","","","","","","","","","","","4984","0"
"756774","23","712","394","80","OPS$FB11","華元耍脆卡力(椒鹽雞汁口味)","","225g/包","1","0","6","1","包","1","6","52.38","1","1","0","1","65","1","1","N","1","N","N","N","0","Y","Y","Y","","300","200","","","","","N","Y","","2022-06-13 00:00:00","2022-10-16 00:00:00","pri_policy","2.25","100g","","","","2022-06-15 00:00:00","N","","","","","","","","","","","","3913","0"
"756780","23","712","61","13","OPS$FB11","盛香珍爆漿大甲芋頭捲心酥","","135/盒","1","0","1","1","盒","1","10","52.38","1","1","0","1","65","1","1","N","1","N","N","N","0","Y","Y","Y","","360","240","","","","","N","Y","","2022-06-13 00:00:00","2022-10-16 00:00:00","pri_policy","1.35","100g","","","","2022-06-15 00:00:00","N","","","","","","","","","","","","3913","0"
"785865","23","712","393","10","OPS$FB11","瑞花分享包250G","","250公克/包","1","0","1","1","包","1","6","85.0","1","1","0","1","105","1","0","Y","1","N","N","N","0","Y","Y","Y","","180","120","","","","","N","Y","","2022-06-13 00:00:00","2022-10-16 00:00:00","pri_policy","2.5","100g","","","","2022-06-16 00:00:00","N","","","","","","","","","","","","1577","0"
"756684","25","1011","786","3","OPS$FB05","愛之味客家香筍120gx3瓶/組","Hakka pickled bamboo shoot","120gx3瓶/組","1","0","1","3","瓶","1","48","114.3","1","1","0","1","150","1","1","Y","1","N","N","N","0","Y","Y","Y","","730","486","","","","","N","N","","2022-06-13 00:00:00","2022-10-16 00:00:00","ahki02","3.6","100g","","","","2022-07-12 00:00:00","N","","","","","","","","","","","","1011","0"
"774054","23","712","394","1","OPS$FB11","華元白沙屯媽祖勇安箱","","6包入/箱(43gx2包55gx2包46gx2包)","1","0","6","1","箱","1","1","97.14","1","1","0","1","120","1","1","N","1","N","N","N","0","Y","Y","Y","","240","160","","","","","N","Y","","2022-06-13 00:00:00","2022-10-16 00:00:00","ahki02","2.88","100g","","","","2022-06-15 00:00:00","N","","","","","","","","","","","","3913","0"
"487830","23","712","394","60","OPS$FB11","浪味仙-喜馬拉雅鹽味(洋芋捲)","","","1","0","1","1","包","1","10","36.43","1","1","0","1","45","1","1","N","1","N","N","N","0","Y","Y","Y","","270","180","","","","","N","Y","","2022-05-16 00:00:00","2022-10-16 00:00:00","pri_policy","0.86","100g","","","","2022-06-16 00:00:00","N","","","","","","","","","","","","1577","0"
"488217","23","712","393","10","OPS$FB11","旺旺小小酥-蜜汁肉乾風味(米果)","","","1","0","6","1","包","1","10","55.86","1","1","0","1","69","1","1","N","1","N","N","N","0","Y","Y","Y","","180","120","","","","","N","Y","","2022-05-16 00:00:00","2022-10-16 00:00:00","ahki02","1.5","100g","","","","2022-06-16 00:00:00","N","","","","","","","","","","","","1577","0"
"784785","23","712","61","10","OPS$FB11","盛香珍黃金巧克力巧克酥","","130g/包","1","0","1","1","包","1","10","45.71","1","1","0","1","79","1","1","N","1","N","N","N","0","Y","Y","Y","","360","240","","","","","N","Y","","2022-06-13 00:00:00","2022-10-16 00:00:00","pri_policy","1.3","100g","","","","2022-06-15 00:00:00","N","","","","","","","","","","","","3913","0"
