"HT1/2氣墊襪三入超值 黑","HT-A32002","4713319539708","57","男女內著課"
"味全巧克力牛乳375ml","375ml","4710063314414","15","冷藏課"
"Bixtar柳橙綠茶475ml","475ml/瓶","4710063426674","15","冷藏課"
"光泉OAT燕麥奶-可可榛果936ml","936ml","4710105010441","15","冷藏課"
"*義美蛋餅皮 50g*5片/包","50g*5片/包","4710126095335","16","冷凍課"
"雪螺 -公斤","","","13","水產課"
"PLUS豆豆彩貼替換帶 TG-726R#6mm*8M","","4977564510381","38","文具"
"小磨坊萬用滷包(純素) 300g/包","300g/包","4710059000208","25","食用油&罐頭醬料課"
"豐原豆乳雞","約18公斤","","17","熟餐課"
"奇美冷凍芝麻包子390g","","4711926732062","16","冷凍課"
"台塑保鮮耐熱袋100袋/支","28*41cm.100枚/支","4711046199837","69","家庭清潔洗劑課"
"韓國Ottogi Real雙重起司拉麵","540G","8801045523972","20","米,麵,南北貨課"
"乖乖四入-彎仔包 (彎的脆果)","52g*4包/袋","4710015111788","23","糖果餅乾課"
"墨墨多用途【折疊置物籃】","JW3549-6","4711467735492","61","家庭清潔用具課"
"大補帖-當歸鴨細麵 102gx2入/組","","4710088414007","20","米,麵,南北貨課"
"屏東紅豆600g","600g","4715635097931","20","米,麵,南北貨課"
"SR精梳棉美式枕套一入 亞爵","45X75cm(1.5X2.5尺)","4715387042999","32","家用紡品"
"村子口功夫菜泰式打拋豬","500g","4712523202811","16","冷凍課"
"280公分萬聖派對彩旗","GTH-1576","4714041270822","70","家庭裝飾品課"
"桂格敏兒HA麥精-纖果順暢 700g/罐","","4710043016321","26","沖調課"
"肉鬆調理麵包","85g±9%/個","4710970687625","18","烘焙課"
"魷魚圈IQ-KG","1kg","","18","烘焙課"
"大拇指輕巧衣架-10入 粉紅","尺寸:40*20cm","4710970788940","61","家庭清潔用具課"
"微光柔雅毛巾三入包","33*76CM 311gsm","4718009693494","32","家用紡品"
"小粒納豆四付綠納豆","202.4 公克 (50.4 公克x4 入) / 盒","4901160050019","16","冷凍課"
"Morino我們的星座方巾 白","33x36cm,460gm/m2(±5%)","4711605374996","32","家用紡品"
"CR抗菌V領短袖衫 M","","4711048340831","57","男女內著課"
"HT3/4休閒襪四入超值 白","HT-A41003","4713319539975","57","男女內著課"
"莎啦莎啦-小蒼蘭香氛沐浴乳補充包","800g","4710186310638","28","美容用品課"
"麥提莎麥芽脆心黑巧克力歡樂桶465g","465g","9300682059909","23","糖果餅乾課"
"冷藏肉-雞里肌肉/大包裝(超秦) 公斤","kg","","14","肉品課"
"間單生活室內拖26001 橘#女段","","4715982130503","56","鞋課"
"台灣聖女小蕃茄(約600克+-5%)/盒","600克/盒","4712487610172","12","水果課"
"網眼透氣牛仔短褲 4L","A612-314 21SS (M-5L)","4717744092210","51","男裝課"
"AA貝殼麵 Tofette","500g","8008120750555","66","進口食品課"
"(品高)甜蔥醬600g/罐","600g/罐","4712688587723","18","烘焙課"
"涼感加大床包 綠","180X186CM(6X6.2尺)","4715387041145","32","家用紡品"
"行家PVA鹿皮巾","32*42cm","4714005008881","35","汽車百貨"
"家幫派特級超纖拖把","C0051","4711132764345","61","家庭清潔用具課"
"有機香菇300g+-5%/盒","","4710577210059","11","蔬菜課"
"愛之味土豆麵筋 170gx3瓶/組","170gx3瓶/組","4710626111450","25","食用油&罐頭醬料課"
"A4 11孔資料袋""加厚""/ 100入","","4713760156578","38","文具"
"Victoria 石墨烯抗菌水洗被-雙人","180x210cm(6x7尺)","4711086165854","32","家用紡品"
"得力Super Wings A5拉鏈袋-EZ70502","","6935205350480","38","文具"
"有機杏鮑菇(陶立克) 300g/盒","300g/盒","4713327360769","11","蔬菜課"
"原味小餐包12入","32gX12入±9%/包","","18","烘焙課"
"MSM台灣竹碳桂竹涼夏蓆-加大","6x6尺(180x180cm)±3%","4713227084437","32","家用紡品"
"M&M's花生糖衣巧克力 303.3g","303.3g","040000513056","23","糖果餅乾課"
"萬丹巧克力牛奶936ml","936ml","4710063338656","15","冷藏課"
"BOSCH新款V4亞熱帶雨刷16吋","16吋","4047025571944","35","汽車百貨"
"victoria碳化3D軟線拉鍊組裝式坐墊","50*50CM(+-3%)","4711086130104","32","家用紡品"
"ALBC6331 人體工學有線鍵鼠組 黑","ALBC6331 黑","6970939959561","47","電器3C配件"
"*五木香菇味拉麵 4入/包","4片/入","4710175565216","20","米,麵,南北貨課"
"統一茶裏王台式綠茶 600ml/瓶","600m/瓶","4710088630216","21","飲料課"
"艾森絲柔光幻顏打亮餅02","9G","4059729288172","28","美容用品課"
"Mars男彈力貼袋束口褲 黑#M","","","51","男裝課"
"RASTO RB11 直立式快充無線充電板","","4711100841313","47","電器3C配件"
"義美鮮奶茶900ml","900ml","4710126198470","15","冷藏課"
"Victoria純棉涼被","150x180cm ±5%","4711086181304","32","家用紡品"
"多功能彩色地墊62cm/4入","62*62*1.2cm±1mm","4710836704749","31","家俱與收納課"
"原木色翻蓋禮物袋(S)35","","4716327320788","38","文具"
"林鳳營特濃重乳優格(無加糖)","400g/杯","4710063338038","15","冷藏課"
"統一純喫茶-紅茶  960mlx3瓶/組","960mlx3瓶/組","4710088437143","15","冷藏課"
"光泉豆漿 936ml/瓶","936ml/瓶","4710105011042","15","冷藏課"
"ADIDAS男棉長帽T HL69 黑#L","HL6927 / HL6933","","51","男裝課"
"夜神LED緊急照明燈/IG4001","IG4001","4718259232474","34","家庭修繕"
"葛莉思貓罐170g- 鮪魚+鮭魚","170g/罐","4710200702791","22","寵物課"
"機車座墊護套-超級防熱","","4714008435295","35","汽車百貨"
"*大拇指特選貓乾糧1.5KG/包 海鮮口味","1500g","4710970804961","22","寵物課"
"台灣小黃瓜80g+-5%/條","80g+-10%/條","","11","蔬菜課"
"Mars男彈力印花長袖T 湖水藍#XL","","4710483160745","51","男裝課"
"炫亮貼塗畫:冰雪奇緣2","$160/京甫/3~8歲","4714809836178","37","圖書&影音出版品"
"2023年吊掛3月式月曆(可撕)","600*287*2mm","4713760267120","38","文具"
"公賣局特級紅標純米酒 0.6公升","600ml","4711588836313","24","啤酒與烈酒課"
"優雅室內皮拖鞋96071 咖#男段","","4715982117450","56","鞋課"
"慧心犬糧牛肉+牛奶口味幼犬配方3KG","3KG","8850477811355","22","寵物課"
"可愛小熊室外拖#MA036 白#25","EVA/EVA;36-45","4711106982706","56","鞋課"
"Mars男彈力印花短袖T 麻灰#XL","","","51","男裝課"
"加倍佳草莓口味棒棒糖侏儸紀驚喜蛋","12g/條","4710043047189","23","糖果餅乾課"
"IQ CAT 聰明貓罐頭 海魚鮮蝦口味","400G/罐","8850477028081","22","寵物課"
"M-男運動休閒平口長褲 灰#L","","4710483121425","51","男裝課"
"舒潔頂級三層舒適竹萃抽衛94抽x20包","94抽X20包","4710114814993","27","家用紙製品課"
"台灣空心菜500g+-5%/袋","500g+-5%/袋","4717048830402","11","蔬菜課"
"光泉希臘式優酪500g/個","PP500g/個","4710105001456","15","冷藏課"
"麥提莎麥芽脆心巧克力歡樂桶465g","","9300682051101","23","糖果餅乾課"
"薯片先生(原味)130g","","9557062332415","23","糖果餅乾課"
"馬K紅K雙丁 250g/包","250g/包","4717060640164","11","蔬菜課"
"冷藏肉-雞清胸肉(大成)公斤","18公斤/箱","","14","肉品課"
"尚朋堂多功能電火鍋","ST-420I","4717365004203","43","小家電"
"豆皮盛盒 (非基改黃豆)","","","13","水產課"
"芋頭塊 300g/包","300g/包","4717060604715","11","蔬菜課"
"男羽絨背心 酒紅#M","DW152001","4711085064110","51","男裝課"
"雄獅粉餅水彩12色WCC2","3501016A","4710609560213","38","文具"
"靠得住暖心梔子花瞬吸護墊17.5cm","24片x2包/組","4710036613087","27","家用紙製品課"
"KEYWAYP2-0088大馬格力收納籃附隔板","350*163*49mm","4711713351377","31","家俱與收納課"
"台灣糯米辣椒 300g +-5%/盒","300g +-5%/盒","","11","蔬菜課"
"KEYWAY D-136 大美心洗滌盆","347*310*142mm","4711713310534","33","廚房與餐具用品課"
"艾薇亞防水防油桌巾137x137cm","137x137cm","4717565200719","32","家用紡品"
"特級蓮花貢香(1台斤)","D105/總長48cm","4712893100847","61","家庭清潔用具課"
"康富萊 超厚DOUBLE""D"" 23-26cm","23-26cm","4710765777210","56","鞋課"
"男印花刷毛大學T 麻灰#XL","DW156001","4711085064820","51","男裝課"
"鍋寶陽極複底雪平鍋20cm","HT-0120-S","4711341414987","33","廚房與餐具用品課"
"彈力個性丹寧束口褲 黑#2L","A5583 A5584","","51","男裝課"
"麥香紅茶TP375ml*24入","TP375ml*24入","4710088525253","21","飲料課"
"北海道牛奶蛋糕","60g+-9%/個","4710970687175","18","烘焙課"
"皇家榖堡皇家台東米 3kg/包 一等米","3kg/CNS 一等米","4716112760010","20","米,麵,南北貨課"
"台灣大芋頭/公斤","kg","","11","蔬菜課"
"阿Q桶麵雞汁排骨風味 107gx3桶/組","豬肉產地:西班牙","4710088414359","20","米,麵,南北貨課"
"手易坊PP棉黑鑽蓮蓬頭專用濾心","2*12.5*2cm","4717677209594","34","家庭修繕"
"日香蝦味餅","200公克","4714431053271","23","糖果餅乾課"
"經濟型蓮蓬頭固定座","","4713645084187","34","家庭修繕"
